STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150101,0,-9999,22,-71
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150102,0,-9999,44,-16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150103,0,-9999,56,-43
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150104,0,-9999,-43,-121
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150105,0,-9999,-10,-132
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150106,0,-9999,0,-82
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150107,0,-9999,-66,-155
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150108,0,-9999,11,-160
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150109,0,-9999,-49,-116
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150110,0,-9999,50,-116
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150111,0,-9999,50,-21
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150112,0,-9999,17,-110
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150113,0,-9999,-21,-143
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150114,0,-9999,44,-43
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150115,0,-9999,111,-66
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150116,0,-9999,172,-60
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150117,0,-9999,133,56
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150118,0,-9999,161,-5
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150119,0,-9999,189,-21
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150120,0,-9999,117,-5
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150121,0,-9999,111,-16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150122,0,-9999,39,-27
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150123,0,-9999,89,-49
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150124,3,-9999,167,-16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150125,0,-9999,89,-5
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150126,0,-9999,167,-27
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150127,0,-9999,144,-10
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150128,0,-9999,244,28
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150129,0,-9999,122,-10
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150130,0,-9999,56,-55
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150131,89,-9999,50,11
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150201,38,-9999,11,-82
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150202,0,-9999,-27,-143
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150203,0,-9999,111,-43
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150204,3,-9999,33,-110
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150205,0,-9999,-10,-143
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150206,0,-9999,139,-27
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150207,0,-9999,189,39
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150208,0,-9999,194,56
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150209,0,-9999,56,17
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150210,0,-9999,111,-10
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150211,0,-9999,56,-16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150212,0,-9999,0,-110
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150213,0,-9999,83,-55
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150214,0,-9999,50,-77
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150215,15,-9999,-66,-105
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150216,0,-9999,-38,-99
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150217,0,-9999,6,-77
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150218,0,-9999,-66,-110
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150219,3,-9999,-66,-143
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150220,0,-9999,33,-105
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150221,10,-9999,100,-21
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150222,0,-9999,-21,-93
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150223,0,-9999,-43,-127
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150224,0,-9999,83,-77
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150225,0,-9999,128,-60
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150226,0,-9999,-49,-132
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150227,0,-9999,-71,-155
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150228,3,-9999,-38,-82
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150301,0,-9999,17,-43
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150302,0,-9999,50,-60
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150303,0,-9999,94,-10
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150304,0,-9999,-10,-60
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150305,0,-9999,11,-116
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150306,0,-9999,156,-32
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150307,0,-9999,217,39
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150308,0,-9999,222,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150309,0,-9999,183,17
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150310,0,-9999,222,67
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150311,0,-9999,256,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150312,0,-9999,239,61
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150313,0,-9999,250,72
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150314,0,-9999,206,61
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150315,0,-9999,244,28
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150316,0,-9999,289,133
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150317,0,-9999,178,61
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150318,23,-9999,72,33
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150319,3,-9999,56,28
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150320,0,-9999,189,22
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150321,0,-9999,217,83
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150322,0,-9999,239,72
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150323,0,-9999,167,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150324,38,-9999,111,50
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150325,28,-9999,139,56
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150326,3,-9999,117,17
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150327,0,-9999,83,6
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150328,0,-9999,128,33
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150329,0,-9999,217,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150330,0,-9999,239,28
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150331,0,-9999,256,89
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150401,0,-9999,278,122
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150402,188,-9999,222,139
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150403,18,-9999,156,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150404,0,-9999,178,-5
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150405,0,-9999,200,78
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150406,0,-9999,172,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150407,0,-9999,300,133
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150408,0,-9999,256,117
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150409,0,-9999,267,61
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150410,0,-9999,217,56
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150411,0,-9999,233,100
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150412,191,-9999,211,122
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150413,109,-9999,194,128
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150414,0,-9999,217,100
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150415,0,-9999,167,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150416,0,-9999,256,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150417,0,-9999,261,128
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150418,132,-9999,189,156
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150419,38,-9999,206,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150420,0,-9999,156,78
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150421,0,-9999,211,67
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150422,0,-9999,156,39
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150423,0,-9999,200,56
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150424,5,-9999,189,128
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150425,71,-9999,189,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150426,-9999,-9999,178,94
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150427,0,-9999,200,72
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150428,0,-9999,233,72
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150429,0,-9999,239,89
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150430,0,-9999,244,78
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150501,0,-9999,250,106
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150502,13,-9999,250,139
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150503,0,-9999,289,178
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150504,119,-9999,300,178
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150505,86,-9999,283,167
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150506,5,-9999,250,183
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150507,61,-9999,250,178
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150508,28,-9999,233,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150509,18,-9999,239,167
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150510,165,-9999,250,144
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150511,0,-9999,178,78
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150512,0,-9999,217,72
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150513,0,-9999,217,94
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150514,97,-9999,244,144
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150515,3,-9999,261,167
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150516,739,-9999,289,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150517,48,-9999,278,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150518,0,-9999,217,117
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150519,0,-9999,156,78
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150520,221,-9999,133,100
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150521,0,-9999,206,89
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150522,0,-9999,200,100
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150523,340,-9999,206,144
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150524,51,-9999,222,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150525,48,-9999,283,161
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150526,46,-9999,267,167
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150527,0,-9999,294,161
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150528,104,-9999,233,183
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150529,20,-9999,222,178
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150530,5,-9999,194,139
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150531,0,-9999,217,139
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150601,0,-9999,194,150
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150602,0,-9999,244,156
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150603,226,-9999,233,183
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150604,66,-9999,272,194
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150605,51,-9999,294,183
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150606,3,-9999,300,200
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150607,84,-9999,339,228
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150608,5,-9999,317,200
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150609,0,-9999,339,194
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150610,0,-9999,350,250
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150611,0,-9999,328,239
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150612,0,-9999,261,206
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150613,0,-9999,267,211
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150614,130,-9999,294,222
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150615,99,-9999,300,222
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150616,0,-9999,250,206
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150617,0,-9999,300,228
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150618,0,-9999,294,222
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150619,0,-9999,294,189
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150620,0,-9999,361,211
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150621,13,-9999,311,233
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150622,0,-9999,350,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150623,38,-9999,283,200
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150624,0,-9999,356,200
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150625,0,-9999,361,228
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150626,358,-9999,294,183
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150627,0,-9999,289,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150628,0,-9999,317,206
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150629,0,-9999,311,200
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150630,0,-9999,322,217
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150701,254,-9999,306,211
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150702,0,-9999,250,206
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150703,0,-9999,272,194
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150704,0,-9999,289,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150705,0,-9999,322,211
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150706,518,-9999,328,217
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150707,114,-9999,244,167
