STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100129,6,18,54,309,0,309,0,284,188,76,37,0,0,0,0,0,0,0,0,0,551,241,672,430,86,81,90,101
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100130,6,19,55,321,0,321,0,284,187,77,37,0,0,0,0,0,0,0,0,0,552,241,673,432,86,81,89,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100131,6,19,55,333,0,333,0,283,187,77,37,0,0,0,0,0,0,0,0,0,553,241,674,433,86,81,89,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100201,6,19,56,11,0,344,0,282,186,78,37,0,0,0,0,0,0,0,0,0,555,241,675,434,86,81,89,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100202,6,19,57,23,0,356,0,281,186,78,37,0,0,0,0,0,0,0,0,0,556,242,677,435,85,81,88,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100203,6,19,57,34,0,367,0,280,184,79,37,0,0,0,0,0,0,0,0,0,557,242,678,436,85,81,88,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100204,6,19,58,45,0,378,0,279,183,79,37,0,0,0,0,0,0,0,0,0,558,242,679,438,85,81,88,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100205,6,19,59,55,0,388,0,277,182,80,37,0,0,0,0,0,0,0,0,0,560,242,681,439,85,81,87,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100206,6,19,59,66,0,399,0,276,181,80,37,0,0,0,0,0,0,0,0,0,561,242,682,440,85,81,87,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100207,6,19,60,76,0,409,0,274,179,80,36,0,0,0,0,0,0,0,0,0,563,242,684,442,84,81,87,100
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100208,6,19,60,87,0,420,0,273,177,80,36,0,0,0,0,0,0,0,0,0,564,242,685,443,84,81,87,99
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100209,6,19,61,99,0,432,0,272,176,81,36,0,0,0,0,0,0,0,0,0,565,242,687,444,84,80,86,99
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100210,6,19,62,110,0,443,0,271,174,81,36,0,0,0,0,0,0,0,0,0,567,243,688,446,84,80,86,99
